Timestamp,Orientation_x,Orientation_y,Orientation_z,Orientation_w,Angular_Velocity_x,Angular_Velocity_y,Angular_Velocity_z,Linear_Acceleration_x,Linear_Acceleration_y,Linear_Acceleration_z
1724289492.864799,0.706011,-0.002994,0.708155,0.007496,-0.059219,0.007522,0.007243,9.924330,0.254973,0.274586
1724289492.875680,0.705895,-0.002682,0.708272,0.007537,0.013160,0.014521,0.025709,9.836070,0.245166,0.313813
1724289492.886844,0.705875,-0.002516,0.708299,0.006901,0.103550,-0.000419,0.065799,9.855683,0.186326,0.323619
1724289492.897896,0.705855,-0.002688,0.708324,0.006247,0.071750,0.009425,0.100077,9.973363,0.029420,0.480526
1724289492.908822,0.705911,-0.003110,0.708271,0.005702,0.021171,-0.013439,0.130882,9.934136,-0.156906,0.460913
1724289492.919652,0.706087,-0.003340,0.708099,0.005126,0.047979,-0.051958,0.113220,9.973363,-0.333426,0.441299
1724289492.930419,0.706320,-0.003679,0.707866,0.004947,-0.003421,-0.064315,0.079081,9.963556,-0.382459,0.470719
1724289492.941293,0.706684,-0.004181,0.707499,0.005075,-0.085975,-0.096342,0.048730,9.806650,-0.451106,0.411879
1724289492.951277,0.707175,-0.004663,0.707005,0.005087,-0.066741,-0.127426,0.018692,9.747810,-0.431493,0.166713
1724289492.962653,0.707656,-0.004731,0.706522,0.005277,-0.039671,-0.138300,-0.022201,9.796843,-0.313813,0.039227
1724289492.973528,0.708099,-0.004624,0.706078,0.005348,0.006126,-0.107984,-0.020089,9.659550,-0.284393,-0.039227
1724289492.984432,0.708421,-0.004465,0.705757,0.005248,0.030980,-0.084875,-0.012165,9.590904,-0.147100,-0.176520
1724289492.994198,0.708586,-0.004411,0.705592,0.005104,0.030578,-0.048381,0.014853,9.522257,-0.294199,-0.068647
1724289493.004193,0.708639,-0.004585,0.705538,0.005041,-0.017104,-0.019059,0.031119,9.522257,-0.147100,-0.088260
1724289493.014024,0.708668,-0.004715,0.705510,0.004812,-0.001728,-0.015464,0.050318,9.561484,-0.245166,-0.049033
1724289493.024233,-0.708684,0.004629,-0.705497,-0.004392,0.066584,-0.002251,0.048956,9.512450,-0.402073,-0.078453
1724289493.034201,-0.708628,0.004573,-0.705555,-0.004177,0.049602,0.011711,0.027559,9.581097,-0.411879,-0.156906
1724289493.044207,-0.708490,0.004624,-0.705694,-0.004212,-0.020071,0.036024,-0.005445,9.649744,-0.402073,-0.058840
