Timestamp,Orientation_x,Orientation_y,Orientation_z,Orientation_w,Angular_Velocity_x,Angular_Velocity_y,Angular_Velocity_z,Linear_Acceleration_x,Linear_Acceleration_y,Linear_Acceleration_z
1724289494.267909,0.708342,-0.006290,0.705796,0.007821,-0.005072,0.090017,-0.011795,9.774288,-0.188288,0.127486
1724289494.278100,0.708001,-0.006243,0.706138,0.007880,0.001019,0.091581,-0.015472,9.827244,-0.196133,0.182404
1724289494.289415,0.707665,-0.006170,0.706475,0.007956,0.005576,0.089857,-0.021948,9.871374,-0.182404,0.246147
1724289494.300941,0.707338,-0.006107,0.706801,0.008087,-0.004883,0.086134,-0.028102,9.912562,-0.164752,0.302045
1724289494.310869,0.707038,-0.006046,0.707100,0.008257,-0.013715,0.078758,-0.033287,9.963556,-0.138274,0.354020
1724289494.320883,0.706777,-0.005945,0.707360,0.008420,-0.010395,0.067665,-0.035741,10.000822,-0.097086,0.388343
1724289494.330879,0.706565,-0.005789,0.707572,0.008506,0.008015,0.055463,-0.032755,10.020435,-0.073550,0.409918
1724289494.340919,0.706394,-0.005600,0.707745,0.008510,0.024344,0.046021,-0.026789,10.029261,-0.067666,0.431493
1724289494.350889,0.706247,-0.005413,0.707894,0.008453,0.033128,0.036420,-0.018935,10.013570,-0.083357,0.455029
1724289494.360913,0.706144,-0.005243,0.707998,0.008375,0.035027,0.023270,-0.014066,9.985131,-0.114738,0.464835
1724289494.370909,0.706099,-0.005127,0.708045,0.008330,0.025850,0.007018,-0.011420,9.948846,-0.140235,0.455029
1724289494.380876,0.706114,-0.005079,0.708031,0.008344,0.007629,-0.009107,-0.010025,9.913542,-0.137293,0.421686
1724289494.390881,0.706181,-0.005080,0.707962,0.008401,-0.007257,-0.023672,-0.009172,9.892949,-0.139254,0.372653
1724289494.401803,0.706289,-0.005083,0.707854,0.008451,-0.007945,-0.035921,-0.008060,9.861567,-0.142196,0.315774
1724289494.412958,0.706411,-0.005051,0.707732,0.008467,0.001121,-0.040664,-0.007929,9.813515,-0.136312,0.253012
1724289494.423113,0.706531,-0.004995,0.707612,0.008469,0.006967,-0.039341,-0.009083,9.763501,-0.137293,0.197114
1724289494.434706,0.706636,-0.004916,0.707508,0.008479,0.009418,-0.035156,-0.014872,9.726235,-0.123564,0.151022
1724289494.445132,0.706718,-0.004795,0.707427,0.008480,0.014020,-0.030912,-0.018775,9.696816,-0.101989,0.104931
1724289494.455230,0.706791,-0.004650,0.707355,0.008474,0.018808,-0.024984,-0.021359,9.681125,-0.072569,0.059821
1724289494.466550,0.706828,-0.004507,0.707319,0.008453,0.020120,-0.013820,-0.018788,9.666415,-0.043149,0.031381
1724289494.477613,0.706818,-0.004381,0.707331,0.008396,0.023506,-0.000592,-0.011887,9.669357,-0.032362,0.029420
1724289494.488696,0.706760,-0.004273,0.707390,0.008300,0.027299,0.012664,-0.003007,9.679164,-0.052956,0.035304
1724289494.499660,0.706659,-0.004211,0.707494,0.008201,0.024194,0.025761,0.002241,9.673280,-0.085318,0.056879
1724289494.510767,0.706537,-0.004186,0.707617,0.008115,0.017350,0.036179,0.003077,9.684067,-0.113757,0.081395
1724289494.521704,0.706392,-0.004193,0.707762,0.008077,0.007732,0.043604,0.000456,9.703680,-0.144158,0.110815
1724289494.532716,0.706230,-0.004197,0.707924,0.008063,0.002288,0.048826,-0.002798,9.724274,-0.165732,0.138274
1724289494.543760,0.706050,-0.004161,0.708104,0.008030,0.007573,0.052934,-0.005662,9.756636,-0.184365,0.160829
1724289494.554848,0.705849,-0.004093,0.708304,0.007994,0.013362,0.059617,-0.008915,9.781153,-0.198094,0.182404
1724289494.564719,0.705629,-0.003973,0.708524,0.007929,0.021907,0.065441,-0.011662,9.809592,-0.210843,0.225553
1724289494.575762,0.705406,-0.003778,0.708748,0.007804,0.040898,0.066939,-0.012968,9.843915,-0.214766,0.270664
1724289494.586057,0.705187,-0.003506,0.708969,0.007623,0.057646,0.066350,-0.014905,9.845877,-0.214766,0.298122
1724289494.597428,0.704971,-0.003180,0.709187,0.007403,0.071084,0.064261,-0.017143,9.849799,-0.202017,0.334407
1724289494.608688,0.704769,-0.002810,0.709392,0.007133,0.082071,0.059264,-0.015951,9.869413,-0.180442,0.349117
1724289494.619816,0.704570,-0.002420,0.709595,0.006820,0.090530,0.054444,-0.009739,9.866471,-0.164752,0.374614
1724289494.629719,0.704396,-0.002004,0.709773,0.006443,0.101812,0.046932,-0.004496,9.879219,-0.166713,0.388343
1724289494.639733,0.704248,-0.001576,0.709925,0.006046,0.110563,0.039691,-0.002805,9.874316,-0.168674,0.391285
1724289494.649776,0.704117,-0.001189,0.710058,0.005728,0.097894,0.034353,-0.007034,9.860587,-0.158868,0.385401
1724289494.659891,0.704009,-0.000866,0.710168,0.005506,0.078198,0.028805,-0.013195,9.839993,-0.130428,0.388343
1724289494.669987,0.703920,-0.000625,0.710257,0.005386,0.053636,0.023052,-0.017872,9.836070,-0.097086,0.375595
1724289494.680159,0.703841,-0.000461,0.710336,0.005370,0.026718,0.017825,-0.019591,9.822341,-0.060801,0.356962
1724289494.691458,0.703780,-0.000351,0.710396,0.005423,0.009402,0.012172,-0.017867,9.817437,-0.036285,0.344213
1724289494.702536,0.703746,-0.000299,0.710429,0.005522,-0.004548,0.005952,-0.014453,9.825283,-0.028439,0.322639
1724289494.712729,0.703726,-0.000292,0.710448,0.005642,-0.013162,0.004154,-0.010802,9.808611,-0.027459,0.309890
1724289494.722739,0.703708,-0.000299,0.710465,0.005789,-0.015348,0.003203,-0.011809,9.806650,-0.027459,0.291258
1724289494.732841,0.703677,-0.000379,0.710493,0.006013,-0.034456,0.006707,-0.012252,9.795863,-0.013729,0.286354
1724289494.742993,0.703634,-0.000550,0.710533,0.006316,-0.057638,0.010673,-0.010481,9.790959,0.011768,0.306948
1724289494.753063,0.703597,-0.000839,0.710566,0.006684,-0.081790,0.009317,-0.003529,9.800766,0.041188,0.334407
1724289494.764365,0.703575,-0.001272,0.710582,0.007117,-0.113186,0.004595,0.008027,9.823321,0.034323,0.355001
1724289494.775666,0.703597,-0.001815,0.710554,0.007554,-0.127098,-0.006306,0.021899,9.817437,0.002942,0.348136
1724289494.786008,0.703665,-0.002397,0.710480,0.007925,-0.122829,-0.017909,0.033353,9.827244,-0.059821,0.315774
1724289494.796198,0.703745,-0.002970,0.710395,0.008225,-0.113727,-0.021817,0.037774,9.833128,-0.123564,0.277528
1724289494.807586,0.703822,-0.003473,0.710313,0.008435,-0.090785,-0.015135,0.033008,9.819399,-0.173578,0.250070
1724289494.817986,0.703862,-0.003878,0.710270,0.008628,-0.076171,-0.004934,0.020494,9.829205,-0.200056,0.254973
1724289494.829352,0.703867,-0.004221,0.710261,0.008835,-0.069274,0.004714,0.006704,9.842935,-0.202998,0.297141
1724289494.839683,0.703864,-0.004487,0.710261,0.009056,-0.061017,0.003763,-0.001740,9.838031,-0.181423,0.336368
1724289494.849945,0.703889,-0.004714,0.710232,0.009268,-0.056798,-0.005554,-0.003417,9.845877,-0.171616,0.341271
1724289494.860229,0.703962,-0.004875,0.710159,0.009375,-0.038465,-0.017535,0.001895,9.826263,-0.188288,0.307929
1724289494.871636,0.704063,-0.004899,0.710058,0.009325,0.000738,-0.024970,0.004079,9.800766,-0.202017,0.239282
1724289494.881967,0.704136,-0.004771,0.709990,0.009160,0.034648,-0.018319,0.001417,9.776249,-0.201036,0.188288
1724289494.891935,0.704159,-0.004549,0.709971,0.008956,0.053852,-0.002382,-0.005978,9.758597,-0.200056,0.179462
