Timestamp,MagneticField_x,MagneticField_y,MagneticField_z
1724728344.851308,-34.183000,5.480000,-26.255000
1724728344.864361,-34.097000,5.467000,-26.193000
1724728344.877427,-34.008000,5.452000,-26.135000
1724728344.890450,-33.922000,5.437000,-26.076000
1724728344.903511,-33.832000,5.422000,-26.122000
1724728344.916650,-33.745000,5.407000,-26.173000
1724728344.929739,-33.656000,5.392000,-26.219000
1724728344.943816,-33.569000,5.380000,-26.262000
1724728344.956814,-33.481000,5.365000,-26.309000
1724728344.969782,-33.407000,5.365000,-26.340000
1724728344.983820,-33.334000,5.364000,-26.372000
1724728344.996816,-33.347000,5.377000,-26.358000
1724728345.009793,-33.363000,5.390000,-26.343000
1724728345.023867,-33.377000,5.404000,-26.327000
1724728345.036879,-33.393000,5.420000,-26.311000
1724728345.049850,-33.411000,5.434000,-26.296000
1724728345.063891,-33.604000,5.449000,-26.359000
1724728345.076866,-33.794000,5.460000,-26.425000
1724728345.089850,-33.986000,5.474000,-26.488000
1724728345.103903,-34.164000,5.473000,-26.566000
1724728345.116909,-34.339000,5.474000,-26.644000
1724728345.129888,-34.515000,5.474000,-26.722000
1724728345.142977,-34.691000,5.476000,-26.795000
1724728345.156523,-34.868000,5.476000,-26.872000
1724728345.170302,-35.015000,5.535000,-26.932000
1724728345.183930,-35.158000,5.594000,-26.990000
1724728345.197463,-35.127000,5.650000,-26.972000
1724728345.210913,-35.099000,5.708000,-26.956000
1724728345.224875,-35.069000,5.769000,-26.942000
1724728345.238845,-35.038000,5.827000,-26.929000
1724728345.252471,-35.009000,5.884000,-26.913000
1724728345.265792,-34.981000,5.941000,-26.895000
1724728345.279462,-34.849000,5.956000,-26.772000
1724728345.293167,-34.716000,5.970000,-26.648000
1724728345.306314,-34.614000,5.924000,-26.541000
1724728345.319354,-34.513000,5.879000,-26.434000
1724728345.332427,-34.412000,5.835000,-26.328000
1724728345.345523,-34.309000,5.793000,-26.218000
1724728345.358700,-34.206000,5.749000,-26.104000
1724728345.371776,-34.146000,5.822000,-26.163000
1724728345.384859,-34.087000,5.900000,-26.226000
1724728345.397943,-34.028000,5.974000,-26.295000
1724728345.412120,-34.072000,6.091000,-26.462000
1724728345.425227,-34.117000,6.208000,-26.633000
1724728345.438331,-34.160000,6.326000,-26.807000
1724728345.451456,-34.203000,6.443000,-26.982000
1724728345.465585,-34.247000,6.561000,-27.152000
1724728345.478637,-34.289000,6.678000,-27.324000
1724728345.491744,-34.334000,6.796000,-27.498000
1724728345.504767,-34.337000,6.797000,-27.502000
1724728345.518911,-34.336000,6.795000,-27.499000
1724728345.531948,-34.335000,6.795000,-27.496000
1724728345.544977,-34.333000,6.796000,-27.503000
1724728345.558000,-34.333000,6.797000,-27.504000
1724728345.571059,-34.333000,6.799000,-27.504000
1724728345.584170,-34.334000,6.803000,-27.502000
1724728345.597240,-34.334000,6.804000,-27.506000
1724728345.610238,-34.335000,6.804000,-27.503000
1724728345.623242,-34.336000,6.802000,-27.503000
1724728345.636245,-34.335000,6.805000,-27.504000
1724728345.649302,-34.336000,6.804000,-27.506000
1724728345.662301,-34.337000,6.804000,-27.505000
1724728345.675328,-34.337000,6.804000,-27.504000
1724728345.688335,-34.336000,6.806000,-27.500000
1724728345.701351,-34.337000,6.803000,-27.499000
1724728345.714427,-34.335000,6.800000,-27.498000
1724728345.728557,-34.332000,6.801000,-27.495000
1724728345.741610,-34.333000,6.801000,-27.496000
1724728345.754666,-34.333000,6.803000,-27.496000
1724728345.768805,-34.333000,6.802000,-27.497000
1724728345.781844,-34.334000,6.801000,-27.495000
1724728345.794924,-34.335000,6.801000,-27.496000
1724728345.807950,-34.336000,6.800000,-27.496000
1724728345.820963,-34.336000,6.799000,-27.502000
1724728345.834378,-34.337000,6.800000,-27.503000
1724728345.847673,-34.338000,6.801000,-27.500000
