Timestamp,MagneticField_x,MagneticField_y,MagneticField_z
1724743596.133619,5.810000,-3.520000,-37.870000
1724743596.147643,6.090000,-6.160000,-36.370000
1724743596.160611,6.080000,-6.220000,-36.370000
1724743596.173571,6.110000,-6.150000,-36.360000
1724743596.186607,6.100000,-6.160000,-36.310000
1724743596.199607,6.090000,-6.160000,-36.310000
1724743596.212724,6.090000,-6.170000,-36.340000
1724743596.226936,6.100000,-6.180000,-36.370000
1724743596.240930,6.120000,-6.170000,-36.400000
1724743596.254998,5.380000,-5.570000,-38.100000
1724743596.269138,5.370000,-5.590000,-38.050000
1724743596.282391,5.360000,-5.590000,-38.070000
1724743596.297350,5.360000,-5.580000,-38.080000
1724743596.312194,5.400000,-5.560000,-38.100000
1724743596.325991,5.360000,-5.600000,-38.020000
1724743596.339673,5.350000,-5.590000,-38.020000
1724743596.353410,5.200000,-4.710000,-36.010000
1724743596.368517,5.240000,-4.680000,-36.080000
1724743596.384388,5.240000,-4.680000,-36.000000
1724743596.399146,5.220000,-4.700000,-36.000000
1724743596.412892,5.200000,-4.710000,-36.020000
1724743596.426461,5.220000,-4.720000,-35.990000
1724743596.439859,5.220000,-4.710000,-36.010000
1724743596.453397,5.530000,-4.990000,-36.500000
1724743596.466943,5.530000,-4.990000,-36.530000
1724743596.480970,5.490000,-4.980000,-36.510000
1724743596.494574,5.530000,-5.020000,-36.460000
1724743596.508348,5.520000,-4.970000,-36.550000
1724743596.523105,5.520000,-5.010000,-36.460000
1724743596.536939,5.500000,-4.990000,-36.520000
1724743596.551726,5.490000,-5.000000,-36.480000
1724743596.566630,5.500000,-4.990000,-36.550000
1724743596.581632,5.520000,-4.980000,-36.460000
1724743596.596873,5.530000,-4.990000,-36.480000
1724743596.611629,5.490000,-5.010000,-36.500000
1724743596.626548,5.500000,-5.000000,-36.460000
1724743596.640224,5.530000,-4.980000,-36.520000
1724743596.654584,5.520000,-4.980000,-36.520000
1724743596.668142,5.500000,-4.980000,-36.530000
1724743596.681572,5.510000,-5.010000,-36.460000
1724743596.694723,5.500000,-5.010000,-36.500000
1724743596.709150,5.510000,-4.980000,-36.460000
1724743596.722499,5.520000,-4.990000,-36.500000
1724743596.737224,5.520000,-4.980000,-36.460000
1724743596.751635,5.520000,-4.990000,-36.460000
1724743596.765924,5.530000,-4.980000,-38.240000
1724743596.779916,5.510000,-4.970000,-38.210000
1724743596.794218,5.510000,-4.960000,-38.210000
1724743596.807315,5.490000,-5.010000,-38.230000
1724743596.820867,5.490000,-5.010000,-38.180000
1724743596.834559,5.500000,-4.970000,-38.210000
1724743596.847976,5.520000,-4.990000,-38.170000
1724743596.861527,4.920000,-5.150000,-38.400000
1724743596.876277,4.920000,-5.130000,-38.330000
1724743596.889923,4.930000,-5.170000,-38.350000
1724743596.903606,4.940000,-5.130000,-38.420000
1724743596.918200,4.920000,-5.160000,-38.350000
1724743596.931527,4.940000,-5.150000,-38.390000
1724743596.945064,4.930000,-5.140000,-38.390000
1724743596.958743,4.960000,-5.170000,-38.370000
1724743596.973239,4.460000,-6.460000,-38.730000
1724743596.986531,4.480000,-6.440000,-38.660000
1724743596.999673,4.480000,-6.470000,-38.680000
1724743597.012622,4.460000,-6.480000,-38.650000
1724743597.025451,4.500000,-6.490000,-38.650000
1724743597.038277,4.510000,-6.470000,-38.710000
1724743597.051537,4.470000,-6.460000,-38.680000
1724743597.064847,5.510000,-4.240000,-37.550000
1724743597.079723,5.500000,-4.240000,-37.600000
1724743597.094514,5.510000,-4.270000,-37.550000
1724743597.109390,5.510000,-4.260000,-37.570000
1724743597.122999,5.530000,-4.250000,-37.620000
1724743597.136719,5.520000,-4.260000,-37.620000
